,SourceID,TargetID
504764,RP11-605F22.2,SLC12A1
550461,IGKJ2,RP11-186B7.4
573808,VKORC1L1,RN7SL5P
586197,RP11-106M3.2,CELF6
592308,RN7SL1,IER2
607386,RNVU1-18,RNU1-3
608804,RP11-96D1.9,RP11-67A1.4
611155,RP11-175B9.3,RNU1-2
613660,RNU1-4,RNVU1-18
618587,AP5B1,SEPSECS-AS1
619192,SUMO2P1,MT-CO1
