EEF1A1P4,RPS3AP20
TTTY10,BCORP1
XIST,BCORP1
LINC00278,BCORP1
ZFY-AS1,BCORP1
TTTY15,BCORP1
ANOS2P,BCORP1
TSIX,BCORP1
HEXA-AS1,AL592114.1
CTAGE8,CTAGE4
AL132780.5,NPIPB14P
XIST,TTTY10
LINC00278,TTTY10
ZFY-AS1,TTTY10
TTTY15,TTTY10
ANOS2P,TTTY10
TSIX,TTTY10
LINC00278,XIST
ZFY-AS1,XIST
TTTY15,XIST
ANOS2P,XIST
TSIX,XIST
EEF1A1P4,RPL5P4
ZFY-AS1,LINC00278
TTTY15,LINC00278
ANOS2P,LINC00278
TSIX,LINC00278
TTTY15,ZFY-AS1
ANOS2P,ZFY-AS1
TSIX,ZFY-AS1
ANOS2P,TTTY15
TSIX,TTTY15
AC066612.1,CTXN2
RPSAP15,RPSAP9
TVP23C-CDRT4,CDRT4
IGKV1-33,IGKV1D-33
IGKV1-5,IGKV1-8
IGLL5,IGKV1-9
TSIX,ANOS2P
ERCC6-PGBD3,PGBD3
AL645922.1,CFB
AC008758.4,AC008758.3
IGHV3-30,IGLL5
AC124319.3,IGLL5
DNAAF4-CCPG1,DNAAF4
URGCP-MRPS24,AC092145.1
AC239799.1,AL360270.2
AC020978.8,AC020978.6
AC090498.1,AC024267.7
RMRP,RMRP
SRXN1,AL121758.1
AL513412.1,RP11-146B14.1
LUNAR1,RP11-104N10.2
RN7SL1,RN7SL1
AC127070.4,AL354822.1
