,SourceID,TargetID
523026,BLOC1S3,IGKV1D-39
537779,IGKV1-33,IGKV1D-33
540511,TMEM176B,TMEM176A
544788,C7orf73,FAM46C
555662,RPL7AP66,CCR1
573205,SEPSECS-AS1,TNFSF4
575666,RP11-106M3.2,CELF6
591400,PTGDR2,FAM220A
598671,RNU1-2,RP11-556I13.2
601056,SHPK,ZHX1-C8orf76
602190,RP11-158I9.8,KLF9
605470,IGHV3-33,IGHV3-30
612744,RP11-248J18.3,BLOC1S3
617088,YWHAZP3,SCAMP1-AS1
621334,RPL15P3,OTOF
622138,YWHAZP3,RP11-468E2.5
633411,RP11-676M6.1,MTPN
634328,AC005523.2,RP11-250B2.5
